id,file,node,lineNumber,metadata
line:0b447a5,C:\Users\edewa\Desktop\CMGT\Narrative design\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,NPC,17,lastline
line:0decc37,C:\Users\edewa\Desktop\CMGT\Narrative design\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,Intervene,53,lastline
line:08753de,C:\Users\edewa\Desktop\CMGT\Narrative design\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,FightingClub,77,lastline
line:0fd6ed5,C:\Users\edewa\Desktop\CMGT\Narrative design\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,FightingClub,99,lastline
line:080d6ac,C:\Users\edewa\Desktop\CMGT\Narrative design\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,heroesParty,170,lastline
line:072942d,C:\Users\edewa\Desktop\CMGT\Narrative design\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,Uprise,190,lastline
line:06af1b4,C:\Users\edewa\Desktop\CMGT\Narrative design\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,Uprise,245,lastline
line:0a03721,C:\Users\edewa\Desktop\CMGT\Narrative design\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,Uprise,251,lastline
line:0144dac,C:\Users\edewa\Desktop\CMGT\Narrative design\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,hearThemOut,263,lastline
